No.,testSub,uname,idCard,schoolName,reportNum,examNum,totalScore,listening,reading,writing,speakingExamNum,speakingScore
1,全国大学英语六级考试(CET6),张三,410115200020130025,北京大学,251121028000922,20260101,450,150,150,150,--,--
2,全国大学英语六级考试(CET6),李勤阳,650115200020130028,东北师范大学,251121028000922,220020252210520,410,123,157,130,--,--
3,全国大学英语六级考试(CET6),郭昱瑶,150121200211080945,四川大学,251121028000922,510011252100504,517,164,193,160,--,--
4,全国大学英语六级考试(CET6),倪雅兰,510115200020130824,广东药科大学,251121028000922,440950252213921,453,133,184,136,--,--
5,全国大学英语六级考试(CET6),王璨,340115200020130043,浙大宁波理工学院,251121028000922,330790252203016,514,173,197,144,--,--
6,全国大学英语六级考试(CET6),周瑾芸,430115200020130043,长沙医学院,252143033003945,430331252120124,463,151,167,145,--,--
7,全国大学英语六级考试(CET6),李雪青,340115200020130617,浙大宁波理工学院,251121028000922,220011252211507,532,138,225,169,--,--
8,全国大学英语四级考试(CET4),夏鹏飞,150782200605280618,北京电影学院,251121028000922,220011252211507,456,152,179,125,--,--
9,全国大学英语四级考试(CET4),宫百怡,210782200605280540,辽宁师范大学海华学院,251121028000922,210280252108402,435,143,147,141,--,--
10,全国大学英语四级考试(CET4),夏俊哲,540115200020130557,西安电子科技大学,251121028000922,220020252210580,432,148,150,134,--,--
11,全国大学英语六级考试(CET6),张昕妍,360111200508277522,江西水利电力大学,252236009001486,360091252213328,497,145,291,161,--,--
12,全国大学英语四级考试(CET4),王雨轩,320111200508277665,常州工学院,252132403002527,324030252119112,434,124,158,152,--,--
13,全国大学英语六级考试(CET6),孙静阳,220111200508277267,沈阳化工大学,252236009001486,610171252100607,425,143,160,122,--,--
14,全国大学英语四级考试(CET4),韦可儿,450111200508277067,广西师范大学,259236009001486,451081252117429,430,123,177,130,--,--
15,全国大学英语六级考试(CET6),李洋,511723200406120229,攀枝花学院,252251058001832,510580252201107,448,135,189,124,--,--
16,全国大学英语六级考试(CET6),徐佳怡,331781200406120447,浙江财经大学,252251058001832,330050252208227,428,125,167,136,--,--
17,全国大学英语六级考试(CET6),江建霖,441723200406120212,遵义师范学院,252252009000495,520091252200320,500,151,232,117,--,--
18,全国大学英语六级考试(CET6),韩子强,15172320040612061X,长沙理工大学,252252009000495,430062252226328,435,125,164,146,--,--
19,全国大学英语四级考试(CET4),陈可为,501723200406120228,重庆外语外事学院,252252009000495,210067252226328,425,146,167,112,--,--
20,全国大学英语六级考试(CET6),佘昱杭,421723200406120043,中南财经政法大学,252252009000495,420041252230028,519,155,195,169,--,--
21,全国大学英语四级考试(CET4),戴颖洁,451723200406120028,南京信息工程大学,252252009000495,320100212118203,601,198,217,186,--,--
22,全国大学英语六级考试(CET6),戴颖洁,451723200406120028,南京信息工程大学,252252009000495,320100231217307,560,186,193,189,--,--
23,全国大学英语四级考试(CET4),卜婷妍,321003200511284529,扬州大学,252252009000495,321015252101828,431,131,153,147,--,--
24,全国大学英语六级考试(CET6),秦皓月,501023200406124221,重庆工商大学派斯学院,252252009000495,508300252111806,428,165,143,120,--,--
25,全国大学英语六级考试(CET6),韩旻谕,321023200406124916,扬州大学,252252009000495,321016252212126,426,154,146,126,--,--
26,全国大学英语六级考试(CET6),朱焓榕,321023200406124529,江苏第二师范学院,252252009000495,464202500134662,430,138,165,127,--,--
27,全国大学英语四级考试(CET4),康小龙,511023200406124058,四川师范大学,252252009000495,25030827381939,476,134,141,201,--,--
28,全国大学英语六级考试(CET6),李珈逸,130602200403141520,北京工业大学耿丹学院,252252009000495,434202500134661,417,123,152,142,--,--
29,全国大学英语六级考试(CET6),刘慧婷,362430200405137823,广东东软学院,252244085001079,440850252204606,430,124,150,156,--,--
30,全国大学英语六级考试(CET6),孙佳茹,342430200405137449,西安外国语大学,252244085001079,610120261210916,501,144,216,141,--,--
31,全国大学英语四级考试(CET4),原泉,411023200406124021,天津天狮学院,252252009000495,120371252106030,418,133,167,118,--,--
32,全国大学英语六级考试(CET6),姜申睿,610430200405137521,洛阳理工学院,411542272209524,411542252209524,456,177,167,112,--,--
33,全国大学英语四级考试(CET4),史英材,621023210406124011,西藏农牧学院,252154002001039,540021252102029,425,140,158,127,--,--
34,全国大学英语六级考试(CET6),张雅婕,621430200405137027,河北传媒学院,411542272209524,131260252203913,433,131,128,174,--,--
35,全国大学英语四级考试(CET4),李森森,619123210406124020,西安科技大学,252236009001486,610114252115202,458,124,187,147,--,--
36,全国大学英语四级考试(CET4),杨欣雨,349121210406124047,安徽三联学院,252236009001486,340641252107920,437,140,158,139,--,--
37,全国大学英语四级考试(CET4),罗瑶,360781200107243649,广东工业大学,252144038004377,440380252102302,652,215,234,203,--,--
38,全国大学英语六级考试(CET6),饶亦可,331430200405137027,浙江师范大学,411542272209524,320590172101428,425,122,176,127,--,--
39,全国大学英语四级考试(CET4),纪小宜,447812001072436224,广州应用科技学院,252144038004377,441430252112429,427,123,176,128,--,--
40,全国大学英语六级考试(CET6),张雨欣,377812001072436841,西安建筑科技大学华清学院,252144038004377,610092252103227,434,139,144,151,--,--
41,全国大学英语六级考试(CET6),陈洪丽,447812001072436020,广东药科大学,252144018004377,105730252231119,427,126,175,126,--,--
42,全国大学英语六级考试(CET6),田梓豪,610323200405271636,哈尔滨商业大学,251223031002789,230310251211418,510,182,169,159,--,--
43,全国大学英语六级考试(CET6),李雪,324323200405271543,南京晓庄学院,0,320202251213911,455,114,206,135,--,--
